name,area,ranked,files,test_files,prod_loc,test_loc,gen_loc,test_ratio,funcs,sum_cyclo,max_cyclo,sum_cognit,max_cognit,median_cognit,cognit_per_100loc,funcs_over_cyclo,funcs_over_cognit,stmts,covered,cov_pct,uncovered_cognit,commits_90d,lines_changed_90d,commits_180d,lines_changed_180d,fan_in,fan_out
agent:vogon,agents,false,4,2,1121,136,0,0.12,55,182,23,185,44,1.0,16.5,2,2,380,53,13.9,158,12,490,25,1413,0,0
capture:session-state,capture,true,4,4,1682,1753,0,1.04,54,210,18,184,35,1.0,10.9,1,2,363,328,90.4,0,59,1832,103,2862,0,0
cmd:checkpoint-policy,command,true,9,11,1052,1211,0,1.15,51,192,14,166,17,2.0,15.8,0,0,423,353,83.5,0,109,3151,109,3151,0,0
cmd:labs-version-shell,command,true,13,10,1346,1631,0,1.21,45,145,14,151,24,1.0,11.2,0,2,383,253,66.1,43,104,2742,189,4327,0,0
platform:coreapi-handwritten,platform,true,5,4,1173,1209,0,1.03,39,150,16,141,23,2.0,12.0,1,2,277,225,81.2,3,44,2383,57,3166,0,0
cmd:agent-help-mcp,command,true,2,3,961,1365,0,1.42,26,130,15,138,30,3.5,14.4,0,1,273,250,91.6,0,42,3071,42,3071,0,0
infra:process-layer,infra,true,15,8,944,783,0,0.83,37,143,15,121,14,1.0,12.8,0,0,193,140,72.5,4,37,1549,48,1961,0,0
cmd:clean,command,true,1,1,533,867,0,1.63,14,95,19,112,24,8.5,21.0,1,1,249,142,57.0,48,9,92,70,3895,0,0
cmd:api-passthrough,command,true,1,1,471,251,0,0.53,16,99,12,105,16,5.0,22.3,0,0,208,113,54.3,44,17,910,17,910,0,0
cmd:agent,command,true,4,3,580,257,0,0.44,20,78,9,86,17,2.5,14.8,0,0,191,164,85.9,0,8,326,19,893,0,0
infra:ui-utils,infra,true,14,9,853,1183,0,1.39,34,103,10,72,9,1.5,8.4,0,0,210,180,85.7,10,40,792,71,1792,0,0
cmd:tokens,command,true,1,1,404,324,0,0.80,15,68,9,67,13,3.0,16.6,0,0,173,148,85.5,0,23,922,23,922,0,0
generated:coreapi,generated,false,11,0,0,0,49269,0.00,0,0,0,0,0,0.0,0.0,0,0,0,0,n/a,0,82,54842,106,89799,0,0
