name,area,ranked,files,test_files,prod_loc,test_loc,gen_loc,test_ratio,funcs,sum_cyclo,max_cyclo,sum_cognit,max_cognit,median_cognit,cognit_per_100loc,funcs_over_cyclo,funcs_over_cognit,stmts,covered,cov_pct,uncovered_cognit,commits_90d,lines_changed_90d,commits_180d,lines_changed_180d,fan_in,fan_out
command,,true,252,256,84639,103839,0,1.23,2920,14045,51,14538,105,3.0,17.2,102,121,31964,23240,72.7,2545,3758,168749,5923,303207,0,0
capture,,true,128,166,48100,74646,0,1.55,1409,7022,56,7524,83,3.0,15.6,67,77,16031,12877,80.3,384,2092,91329,3636,158003,0,0
agents,,true,112,81,22272,29941,0,1.34,884,3421,33,3470,54,2.0,15.6,19,31,7228,5686,78.7,267,599,29234,1231,60992,0,0
test-infra,,false,37,121,10072,31447,0,3.12,501,1475,22,1296,48,1.0,12.9,3,5,3878,1481,38.2,794,394,18692,824,35687,0,0
infra,,true,61,50,9483,12050,0,1.27,395,1413,18,1151,28,2.0,12.1,2,2,2683,2236,83.3,70,426,17374,767,29901,0,0
platform,,true,26,22,4431,6429,0,1.45,126,658,27,741,49,2.0,16.7,8,9,1463,1114,76.1,50,140,5618,216,13660,0,0
generated,,false,11,0,0,0,49269,0.00,0,0,0,0,0,0.0,0.0,0,0,0,0,n/a,0,82,54842,106,89799,0,0
